"","Standort","Bestand","Plot","Baumart","BHD","Hoehe"
"2406","El Naranjo","9",17,"aa",91,20
"2409","El Naranjo","9",17,"aa",46,14
"2425","El Naranjo","9",18,"aa",61.5,21
"2430","El Naranjo","9",19,"aa",26,5.5
"2440","El Naranjo","9",19,"aa",80,22
"2450","El Naranjo","9",20,"aa",65,24
"2507","El Naranjo","9",23,"aa",73,20
"2516","El Naranjo","9",24,"aa",76,27
"2523","El Naranjo","9",24,"aa",31,13
"2528","El Naranjo","9",25,"aa",13,8
"2536","El Naranjo","9",25,"aa",134,26
"2546","El Naranjo","9",26,"aa",103,19
"2547","El Naranjo","9",26,"aa",62,16
"2554","El Naranjo","9",26,"aa",134,26
"2561","El Naranjo","9",27,"aa",62,11
"2578","El Naranjo","10",1,"aa",159,17
"2581","El Naranjo","10",2,"aa",70,9
"2594","El Naranjo","10",4,"aa",185,32
"2597","El Naranjo","10",4,"aa",62,14
"2603","El Naranjo","10",5,"aa",97,23
"2609","El Naranjo","10",6,"aa",59,14
"2613","El Naranjo","10",6,"aa",100,37
"2620","El Naranjo","10",7,"aa",84,15
"2622","El Naranjo","10",7,"aa",90,10
"2628","El Naranjo","10",8,"aa",100,12
"2632","El Naranjo","10",8,"aa",68,13
"2635","El Naranjo","10",9,"aa",140,20
"2639","El Naranjo","10",10,"aa",154,21
"2644","El Naranjo","10",11,"aa",64,9
"2648","El Naranjo","10",12,"aa",112,23
"2649","El Naranjo","10",12,"aa",51,14
"2657","El Naranjo","10",13,"aa",75,16
"2671","El Naranjo","10",15,"aa",53,15
"2672","El Naranjo","10",15,"aa",92,21.5
"2673","El Naranjo","10",15,"aa",151,31
"2679","El Naranjo","10",16,"aa",79,23
"2680","El Naranjo","10",16,"aa",132,25
"2694","El Naranjo","10",17,"aa",86,25
"2705","El Naranjo","10",18,"aa",153,26
"2707","El Naranjo","10",18,"aa",98,6
"2711","El Naranjo","10",19,"aa",102,20
"2719","El Naranjo","10",20,"aa",117,23
"2721","El Naranjo","10",20,"aa",81,21.5
"2736","El Naranjo","10",21,"aa",50,14
"2738","El Naranjo","10",21,"aa",160,31
"2745","El Naranjo","10",22,"aa",141,24
"2751","El Naranjo","10",22,"aa",77.5,23
"2761","El Naranjo","10",23,"aa",148,33
"2784","El Naranjo","11",2,"aa",95,36
"2791","El Naranjo","11",3,"aa",103,25
"2794","El Naranjo","11",4,"aa",97,19
"2798","El Naranjo","11",4,"aa",9,3
"2805","El Naranjo","11",5,"aa",131,28
"2810","El Naranjo","11",6,"aa",31,9
"2812","El Naranjo","11",6,"aa",64,13
"2824","El Naranjo","11",7,"aa",80,22
"2829","El Naranjo","11",8,"aa",52,12
"2830","El Naranjo","11",8,"aa",97,23
"2841","El Naranjo","11",9,"aa",80,19
"2847","El Naranjo","11",10,"aa",100,28
"2848","El Naranjo","11",10,"aa",92,20
"2856","El Naranjo","11",11,"aa",90,11
"2860","El Naranjo","11",12,"aa",44,13
"2865","El Naranjo","11",12,"aa",90,18
