,Standort,Bestand,Plot,Baumart,BHD,Hoehe,BHDm,BHDmAA,Hm,HmAA,Dq,DqAA,Hq,HqAA,BHDmax,BHDmaxAA,Hmax,HmaxAA,BereichBHDAA,BereichHAA,BereichDHAA,DHmaxAA,BHDdom,BHDdomAA,Hdom,HdomAA,HdAA,GCdAA,VardAA,G,GAA,BALAA,Nlog,NlogAA,SDIAA,MH,BG,LG,RGAA,RNAA,JWBAA,JWAAA,VS,N,NAA,a,b,c,RD
398,La Fusta,3,22,aa,30,8,58.44,94.91,15.20,19.03,71.25,102.10,16.43,19.72,167,167,25,25,144,17,12,21,166.00,166.00,22.33,22.33,1.92,0.41,39.91,23.00,8.56,1.08,2.68,1.35,108.84,1413,-38.67,-71.50,0.37,0.05,7.83,0.45,3,483.19,22.32,23.97,1.94,0.02,0.293838652
400,La Fusta,3,22,aa,163,24,58.44,94.91,15.20,19.03,71.25,102.10,16.43,19.72,167,167,25,25,144,17,12,21,166.00,166.00,22.33,22.33,1.92,0.41,39.91,23.00,8.56,1.08,2.68,1.35,108.84,1413,-38.67,-71.50,0.37,0.05,7.83,0.45,3,483.19,22.32,23.97,1.94,0.02,1.596523343
402,La Fusta,3,23,aa,70,14,58.44,94.91,15.20,19.03,71.25,102.10,16.43,19.72,167,167,25,25,144,17,12,21,166.00,166.00,22.33,22.33,1.92,0.41,39.91,23.00,8.56,1.08,2.68,1.35,108.84,1413,-38.67,-71.50,0.37,0.05,7.83,0.45,3,483.19,22.32,23.97,1.94,0.02,0.685623522
403,La Fusta,3,23,aa,100,24,58.44,94.91,15.20,19.03,71.25,102.10,16.43,19.72,167,167,25,25,144,17,12,21,166.00,166.00,22.33,22.33,1.92,0.41,39.91,23.00,8.56,1.08,2.68,1.35,108.84,1413,-38.67,-71.50,0.37,0.05,7.83,0.45,3,483.19,22.32,23.97,1.94,0.02,0.979462174
404,La Fusta,3,23,aa,62,17,58.44,94.91,15.20,19.03,71.25,102.10,16.43,19.72,167,167,25,25,144,17,12,21,166.00,166.00,22.33,22.33,1.92,0.41,39.91,23.00,8.56,1.08,2.68,1.35,108.84,1413,-38.67,-71.50,0.37,0.05,7.83,0.45,3,483.19,22.32,23.97,1.94,0.02,0.607266548
408,La Fusta,3,23,aa,76,24,58.44,94.91,15.20,19.03,71.25,102.10,16.43,19.72,167,167,25,25,144,17,12,21,166.00,166.00,22.33,22.33,1.92,0.41,39.91,23.00,8.56,1.08,2.68,1.35,108.84,1413,-38.67,-71.50,0.37,0.05,7.83,0.45,3,483.19,22.32,23.97,1.94,0.02,0.744391252
410,La Fusta,3,23,aa,164,24,58.44,94.91,15.20,19.03,71.25,102.10,16.43,19.72,167,167,25,25,144,17,12,21,166.00,166.00,22.33,22.33,1.92,0.41,39.91,23.00,8.56,1.08,2.68,1.35,108.84,1413,-38.67,-71.50,0.37,0.05,7.83,0.45,3,483.19,22.32,23.97,1.94,0.02,1.606317965
411,La Fusta,3,24,aa,76,24,58.44,94.91,15.20,19.03,71.25,102.10,16.43,19.72,167,167,25,25,144,17,12,21,166.00,166.00,22.33,22.33,1.92,0.41,39.91,23.00,8.56,1.08,2.68,1.35,108.84,1413,-38.67,-71.50,0.37,0.05,7.83,0.45,3,483.19,22.32,23.97,1.94,0.02,0.744391252
422,La Fusta,3,25,aa,47,12,58.44,94.91,15.20,19.03,71.25,102.10,16.43,19.72,167,167,25,25,144,17,12,21,166.00,166.00,22.33,22.33,1.92,0.41,39.91,23.00,8.56,1.08,2.68,1.35,108.84,1413,-38.67,-71.50,0.37,0.05,7.83,0.45,3,483.19,22.32,23.97,1.94,0.02,0.460347222
433,La Fusta,3,27,aa,110,23,58.44,94.91,15.20,19.03,71.25,102.10,16.43,19.72,167,167,25,25,144,17,12,21,166.00,166.00,22.33,22.33,1.92,0.41,39.91,23.00,8.56,1.08,2.68,1.35,108.84,1413,-38.67,-71.50,0.37,0.05,7.83,0.45,3,483.19,22.32,23.97,1.94,0.02,1.077408391
437,La Fusta,3,28,aa,84,14,58.44,94.91,15.20,19.03,71.25,102.10,16.43,19.72,167,167,25,25,144,17,12,21,166.00,166.00,22.33,22.33,1.92,0.41,39.91,23.00,8.56,1.08,2.68,1.35,108.84,1413,-38.67,-71.50,0.37,0.05,7.83,0.45,3,483.19,22.32,23.97,1.94,0.02,0.822748226
438,La Fusta,3,28,aa,110,23,58.44,94.91,15.20,19.03,71.25,102.10,16.43,19.72,167,167,25,25,144,17,12,21,166.00,166.00,22.33,22.33,1.92,0.41,39.91,23.00,8.56,1.08,2.68,1.35,108.84,1413,-38.67,-71.50,0.37,0.05,7.83,0.45,3,483.19,22.32,23.97,1.94,0.02,1.077408391
